Snapshot,start_date,end_date,name,TTT,LOS,score,reviews,price_per_night,original_price,discount_perc,Free_cancellation,No_payment,Breakfast,Option Member,Index,star_rating,location_rating,neighborhood,km_from_center,neighborhood_category
34:37.9,05/07/2024,10/07/2024,Doxie Hotel,10,5,8.770833048042908,-1.5601496710241656,-0.2561455809355517,-1.4172254734864005,0.0,0,0,0,0,185,2.0,9.445408500330323,Manhattan,0.94824455372798,Other Manhattan
35:20.4,06/07/2024,07/07/2024,Hotel St. James,11,1,8.68,0.6454507089401917,0.5034585556319463,0.784378633606019,10.037174721189592,0,0,0,1,13,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
36:09.2,06/07/2024,08/07/2024,Hotel St. James,11,2,8.68,0.6454507089401917,-0.20314994350060994,0.4160805487764321,9.821428571428571,0,0,0,1,16,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
36:18.2,06/07/2024,08/07/2024,Doxie Hotel,11,2,8.770833048042908,-1.5601496710241656,-0.20314994350060994,-1.4172254734864005,0.0,0,0,0,0,241,2.0,9.445408500330323,Manhattan,0.94824455372798,Other Manhattan
36:58.2,06/07/2024,09/07/2024,Hotel St. James,11,3,8.68,0.6454507089401917,-0.4504629181970046,0.2933145204999031,10.047846889952153,0,0,0,1,14,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
37:07.3,06/07/2024,09/07/2024,Doxie Hotel,11,3,8.770833048042908,-1.5601496710241656,-0.6624454679367715,-1.4172254734864005,0.0,0,0,0,0,221,2.0,9.445408500330323,Manhattan,0.94824455372798,Other Manhattan
37:48.2,06/07/2024,10/07/2024,Hotel St. James,11,4,8.68,0.6454507089401917,-0.20314994350060994,0.4160805487764321,9.821428571428571,0,0,0,1,9,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
37:55.3,06/07/2024,10/07/2024,Doxie Hotel,11,4,8.770833048042908,-1.5601496710241656,-0.6094498305018298,-1.4172254734864005,0.0,0,0,0,0,163,2.0,9.445408500330323,Manhattan,0.94824455372798,Other Manhattan
38:38.4,06/07/2024,11/07/2024,Hotel St. James,11,5,8.68,0.6454507089401917,-0.06182824367409868,0.4897401657423494,9.871244635193133,0,0,0,1,9,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
38:45.7,06/07/2024,11/07/2024,Doxie Hotel,11,5,8.770833048042908,-1.5601496710241656,-0.4151324932403768,-1.4172254734864005,0.0,0,0,0,0,170,2.0,9.445408500330323,Manhattan,0.94824455372798,Other Manhattan
39:30.5,07/07/2024,08/07/2024,Hotel St. James,12,1,8.68,0.6454507089401917,-1.0687453549379913,-0.025877153019072244,10.0,0,0,0,1,10,2.0,9.7,Manhattan,-0.5725250135716106,Other Manhattan
39:39.2,07/07/2024,08/07/2024,Doxie Hotel,12,1,8.770833048042908,-1.5601496710241656,-1.5633713043307809,-1.4172254734864005,0.0,0,0,0,0,201,2.0,9.445408500330323,Manhattan,0.94824455372798,Other Manhattan
