Snapshot,start_date,end_date,name,TTT,LOS,score,reviews,price_per_night,original_price,discount_perc,Free_cancellation,No_payment,Breakfast,Option Member,Index,star_rating,location_rating,neighborhood,km_from_center,neighborhood_category,full_price,checkin,checkout,checkin_day,checkout_day,checkin_day_name_Friday,checkin_day_name_Monday,checkin_day_name_Saturday,checkin_day_name_Sunday,checkin_day_name_Thursday,checkin_day_name_Tuesday,checkin_day_name_Wednesday,checkin_day_name_nan,checkout_day_name_Friday,checkout_day_name_Monday,checkout_day_name_Saturday,checkout_day_name_Sunday,checkout_day_name_Thursday,checkout_day_name_Tuesday,checkout_day_name_Wednesday,checkout_day_name_nan,period_of_the_month_beginning of the month,period_of_the_month_end of the month,period_of_the_month_middle of the month
2024-07-13 15:06:24,01/07/2024,03/07/2024,Hotel St. James,6,2,8.68,0.5989045191990552,-1.025775721937103,0.1369107910044454,10.152284263959393,0,0,0,1,43,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-0.8166108786766323,2024-07-19 15:06:24,2024-07-21 15:06:24,19.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 16:00:42,01/07/2024,04/07/2024,Hotel St. James,6,3,8.68,0.5989045191990552,-1.025775721937103,0.1369107910044454,10.152284263959393,0,0,0,1,35,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-0.2770887904444151,2024-07-19 16:00:42,2024-07-22 16:00:42,19.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 16:11:24,01/07/2024,04/07/2024,Doxie Hotel,6,3,8.770833048042908,-1.671399365582747,-1.5015529584570952,-1.5973629890801584,0.0,1,0,0,0,292,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,-0.44168874956610843,2024-07-19 16:11:24,2024-07-22 16:11:24,19.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 16:54:12,01/07/2024,05/07/2024,Hotel St. James,6,4,8.68,0.5989045191990552,-0.47070227933044545,0.33938945568437373,10.0,0,0,0,1,53,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,0.5184776786437696,2024-07-19 16:54:12,2024-07-23 16:54:12,19.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 18:35:36,02/07/2024,03/07/2024,Hotel St. James,7,1,8.68,0.5989045191990552,-1.025775721937103,0.1369107910044454,10.152284263959393,0,0,0,1,32,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-1.3561329669088493,2024-07-20 18:35:36,2024-07-21 18:35:36,20.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 19:25:36,02/07/2024,04/07/2024,Hotel St. James,7,2,8.68,0.5989045191990552,-1.025775721937103,0.1369107910044454,10.152284263959393,0,0,0,1,36,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-0.8166108786766323,2024-07-20 19:25:36,2024-07-22 19:25:36,20.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 20:19:48,02/07/2024,05/07/2024,Hotel St. James,7,3,8.68,0.5989045191990552,-0.3121098671571147,0.40101339710869977,10.13215859030837,0,0,0,1,43,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-0.03018885176187501,2024-07-20 20:19:48,2024-07-23 20:19:48,20.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 22:48:48,03/07/2024,04/07/2024,Hotel St. James,8,1,8.68,0.5989045191990552,-1.237232271501544,0.05768000917316909,10.106382978723405,0,0,0,1,14,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-1.3805181460379892,2024-07-21 22:48:48,2024-07-22 22:48:48,21.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,04/07/2024,05/07/2024,Hotel St. James,9,1,8.68,0.5989045191990552,1.115221842402862,0.9292186093172085,10.104529616724738,0,0,0,1,42,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-1.1092330282263094,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,04/07/2024,05/07/2024,Doxie Hotel,9,1,8.770833048042908,-1.671399365582747,-0.17994952367933909,-1.5973629890801584,0.0,1,0,0,0,234,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,-1.2585922503922904,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
