score_expedia,reviews_expedia,star_rating_expedia,location_rating_expedia,km_from_center_expedia,Free_cancellation_expedia,Breakfast_expedia,score_booking,reviews_booking,star_rating_booking,location_rating_booking,km_from_center_booking,Free_cancellation_booking,Breakfast_booking,score_diff,reviews_diff,star_rating_diff,location_rating_diff,km_diff,cancellation_diff,breakfast_diff,Index,index
8.74974922398301,3727.0,4.0,9.306447036569988,0.4,1.0,0.0,6.8,4597.0,4.0,9.335996215193298,0.4,0.0,0.0,-1.9497492239830096,870.0,0.0,0.004939580286320299,0.0,-1.0,0.0,48.0,92.0
8.787778736517721,1003.0,4.0,9.322012578616352,2.6,1.0,0.0,6.7,1340.0,4.0,9.335996215193298,2.6,1.0,1.0,-2.0877787365177207,337.0,0.0,0.004939580286320299,0.0,0.0,1.0,46.0,155.0
8.48,1001.0,4.0,9.322012578616352,2.4,1.0,0.0,8.0,1339.0,4.0,9.335996215193298,2.4,1.0,0.0,-0.4800000000000004,338.0,0.0,0.004939580286320299,0.0,0.0,0.0,160.0,150.0
9.09,669.0,3.0,9.3,2.5,0.0,0.0,8.3,1417.0,3.0,9.3,2.5,0.0,0.0,-0.7899999999999991,748.0,0.0,0.0,0.0,0.0,0.0,128.0,68.0
9.29,1004.0,3.0,9.8,1.0,0.0,0.0,8.6,477.0,3.0,9.8,1.0,0.0,0.0,-0.6899999999999995,-527.0,0.0,0.0,0.0,0.0,0.0,56.0,110.0
8.88,417.0,4.0,9.306447036569988,7.6,0.0,0.0,8.2,1099.0,4.0,9.335996215193298,7.6,0.0,0.0,-0.6800000000000015,682.0,0.0,0.004939580286320299,0.0,0.0,0.0,65.0,27.0
8.68,1066.0,4.0,9.306447036569988,1.8,1.0,0.0,7.8,1816.0,4.0,9.335996215193298,1.8,0.0,0.0,-0.8799999999999999,750.0,0.0,0.004939580286320299,0.0,-1.0,0.0,45.0,118.0
8.770833048042908,1640.0,4.0,9.445408500330323,7.6,0.0,0.0,7.4,4034.0,4.0,9.335996215193298,7.6,1.0,0.0,-1.3708330480429076,2394.0,0.0,0.004939580286320299,0.0,1.0,0.0,65.0,76.0
8.08,1040.0,4.0,9.306447036569988,5.6,0.0,0.0,7.5,1242.0,4.0,9.335996215193298,5.6,0.0,0.0,-0.5800000000000001,202.0,0.0,0.004939580286320299,0.0,0.0,0.0,183.0,128.0
8.74974922398301,2758.0,4.0,9.306447036569988,0.9,0.0,0.0,6.2,6692.0,4.0,9.335996215193298,0.9,0.0,0.0,-2.5497492239830093,3934.0,0.0,0.004939580286320299,0.0,0.0,0.0,122.0,71.0
8.787778736517721,2750.0,4.0,9.322012578616352,0.9,1.0,0.0,6.2,6655.0,4.0,9.335996215193298,0.9,0.0,0.0,-2.5877787365177207,3905.0,0.0,0.004939580286320299,0.0,-1.0,0.0,185.0,19.0
